192.168.0.8,192.168.0.255,17,UDP 192.168.0.8:48532 > 192.168.0.255:15600 / Raw
192.168.0.2,142.250.64.138,6,TCP 192.168.0.2:55590 > 142.250.64.138:https FA
192.168.0.2,162.247.241.14,6,TCP 192.168.0.2:55574 > 162.247.241.14:https PA / Raw
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
192.168.0.2,65.183.0.76,17,"UDP / DNS Qry ""b'onedscolprdweu08.westeurope.cloudapp.azure.com.'"" "
162.247.241.14,192.168.0.2,6,TCP 162.247.241.14:https > 192.168.0.2:55574 A
65.183.0.76,192.168.0.2,17,"UDP / DNS Ans ""52.178.17.233"" "
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https S
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
142.250.64.138,192.168.0.2,6,TCP 142.250.64.138:https > 192.168.0.2:55590 FA / Padding
192.168.0.2,142.250.64.138,6,TCP 192.168.0.2:55590 > 142.250.64.138:https A
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
162.247.241.14,192.168.0.2,6,TCP 162.247.241.14:https > 192.168.0.2:55574 PA / Raw
192.168.0.2,162.247.241.14,6,TCP 192.168.0.2:55574 > 162.247.241.14:https A
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 SA
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https PA / Raw
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
104.18.59.150,192.168.0.2,17,UDP 104.18.59.150:https > 192.168.0.2:59986 / Raw
192.168.0.2,104.18.59.150,17,UDP 192.168.0.2:59986 > 104.18.59.150:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,65.183.0.76,17,"UDP / DNS Qry ""b'otel.gitkraken.com.'"" "
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 PA / Raw
65.183.0.76,192.168.0.2,17,"UDP / DNS Ans ""54.167.184.129"" "
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https PA / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 S
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 SA
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 PA / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
104.18.63.132,192.168.0.2,17,UDP 104.18.63.132:https > 192.168.0.2:60155 / Raw
192.168.0.2,104.18.63.132,17,UDP 192.168.0.2:60155 > 104.18.63.132:https / Raw
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 A
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 A / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 A / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 PA / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 PA / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 PA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 PA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https PA / Raw
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 PA / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 PA / Raw
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 A
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 PA / Raw
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 PA / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 PA / Raw
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 FA
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Padding
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 FA
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
192.168.0.2,104.26.5.62,6,TCP 192.168.0.2:55562 > 104.26.5.62:https A
104.26.5.62,192.168.0.2,6,TCP 104.26.5.62:https > 192.168.0.2:55562 A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 FPA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https PA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https FA
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Padding
192.168.0.2,146.75.124.223,6,TCP 192.168.0.2:55557 > 146.75.124.223:https A
146.75.124.223,192.168.0.2,6,TCP 146.75.124.223:https > 192.168.0.2:55557 A
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
